Date,TestedNumber,NewlyConfirmedCases,RequiringInpatientCare,DischargedHospital,Confirmed,DeathsCumulative
2020/05/09,2265,108,6250,8276,442,613
2020/05/10,3995,66,6074,8514,422,621
2020/05/11,5993,58,5914,8903,247,643
2020/05/12,288,87,5162,9851,174,668
2020/05/13,10074,55,4732,10321,169,687
2020/05/14,5866,99,4339,10792,182,710
2020/05/15,3092,55,4025,11136,181,725
2020/05/16,4337,56,3787,11398,184,744
2020/05/17,4987,29,3667,11547,169,749
2020/05/18,5980,30,3400,11867,164,763
2020/05/19,3221,32,3009,12269,165,771
2020/05/20,3669,37,2799,12655,24,777
2020/05/21,4580,45,2495,12988,64,796
2020/05/22,3495,30,2293,13227,36,808
2020/05/23,2769,30,2130,13396,31,820
2020/05/24,1252,40,2111,13446,20,830
2020/05/25,3620,22,1939,13643,20,846
2020/05/26,2994,27,1788,13806,21,858
2020/05/27,3004,37,1637,13979,19,867
2020/05/28,3981,62,1556,14085,21,874
2020/05/29,3501,63,1466,14237,22,886
2020/05/30,2652,46,1452,14290,21,891
2020/05/31,1657,33,1436,14333,22,892
2020/06/01,3789,36,1341,14481,12,894
2020/06/02,4526,51,1272,14605,12,900
2020/06/03,3979,26,1207,14690,12,903
2020/06/04,4600,45,1141,14795,12,907
2020/06/05,4939,41,1064,14901,12,914
2020/06/06,3220,45,1042,14961,11,916
2020/06/07,1725,32,1060,14970,11,916
2020/06/08,4516,22,1028,15035,12,916
2020/06/09,4600,30,965,15120,12,919
2020/06/10,5092,36,923,15200,12,920
2020/06/11,4573,40,854,15308,10,922
2020/06/12,5145,57,810,15395,9,924
2020/06/13,2633,43,801,15451,6,925
2020/06/14,1451,62,819,15493,5,925
2020/06/15,4300,60,871,15508,9,927
2020/06/16,4462,42,760,15657,6,931
2020/06/17,1348,43,712,15737,7,935
2020/06/18,6176,68,707,15811,7,935
2020/06/19,4823,54,677,15880,7,952
2020/06/20,2474,65,711,15911,6,953
2020/06/21,4127,48,732,15936,5,953
2020/06/22,5376,40,706,16007,7,955
2020/06/23,3722,53,698,16058,8,963
2020/06/24,4979,89,713,16116,10,967
2020/06/25,4455,79,727,16188,7,968
2020/06/26,4758,99,757,16248,8,970
2020/06/27,3533,88,790,16301,8,970
2020/06/28,1513,111,822,16353,8,971
2020/06/29,5510,110,869,16424,10,971
2020/06/30,4651,132,897,16522,8,973
2020/07/01,6564,125,1006,16563,8,974
2020/07/02,5460,194,1105,16654,7,975
2020/07/03,6597,249,1224,16747,7,976
2020/07/04,3134,268,1386,16838,26,976
2020/07/05,2618,195,1552,16892,11,976
2020/07/06,8228,174,1671,16981,11,977
2020/07/07,7099,203,1721,17115,9,979
2020/07/08,7725,203,1776,17250,11,980
2020/07/09,7700,352,1929,17436,14,981
2020/07/10,8955,418,2139,17633,14,981
2020/07/11,5362,374,2339,17787,11,981
2020/07/12,1838,390,2587,17887,9,981
