Pref,Pos7,Pos,Population,per100K7,per100K,2021-10-20,2021-10-21,2021-10-22,2021-10-23,2021-10-24,2021-10-25,2021-10-26
沖縄県,91,12,1453,6.262904335856848,0.8258774948382657,20,18,14,9,13,5,12
佐賀県,31,0,815,3.8036809815950923,0,5,2,9,4,7,4,0
大阪府,327,51,8809,3.71211261210126,0.5789533431717562,73,42,51,46,38,26,51
兵庫県,174,35,5466,3.1833150384193196,0.6403219904866447,25,28,26,24,17,19,35
奈良県,35,11,1330,2.631578947368421,0.8270676691729323,11,2,0,4,5,2,11
滋賀県,37,7,1414,2.6166902404526167,0.49504950495049505,4,5,6,6,6,3,7
愛媛県,32,5,1339,2.389843166542196,0.37341299477221807,4,7,2,6,4,4,5
岐阜県,46,7,1987,2.3150478107700048,0.35228988424760943,5,8,10,6,5,5,7
愛知県,168,35,7552,2.2245762711864407,0.46345338983050843,26,22,36,22,18,9,35
群馬県,43,4,1942,2.214212152420185,0.20597322348094746,6,4,15,2,10,2,4
京都府,57,11,2583,2.2067363530778166,0.4258614014711576,8,4,7,11,12,4,11
広島県,60,7,2804,2.1398002853067046,0.24964336661911554,14,9,11,7,5,7,7
石川県,20,1,1138,1.7574692442882252,0.08787346221441124,3,8,3,2,3,0,1
三重県,31,9,1781,1.7405951712521055,0.5053340819764177,4,6,3,3,3,3,9
島根県,11,0,674,1.6320474777448073,0,8,0,0,3,0,0,0
高知県,11,0,698,1.5759312320916905,0,2,4,3,0,2,0,0
北海道,77,13,5250,1.4666666666666666,0.2476190476190476,14,11,15,5,18,1,13
東京都,200,29,13921,1.436678399540263,0.20831836793333813,41,36,26,32,19,17,29
山口県,19,2,1358,1.399116347569956,0.14727540500736377,4,1,4,3,4,1,2
長野県,28,8,2049,1.3665202537823329,0.3904343582235237,5,2,5,3,1,4,8
神奈川県,119,13,9198,1.2937595129375952,0.14133507284192215,16,39,24,9,11,7,13
岡山県,23,3,1890,1.216931216931217,0.15873015873015872,8,3,2,2,3,2,3
青森県,14,2,1246,1.1235955056179776,0.16051364365971107,1,5,2,1,2,1,2
千葉県,67,11,6259,1.070458539702828,0.17574692442882248,12,21,5,13,2,3,11
福岡県,54,1,5104,1.0579937304075235,0.01959247648902821,15,11,8,8,4,7,1
長崎県,14,1,1327,1.0550113036925395,0.07535795026375283,6,5,0,2,0,0,1
埼玉県,75,8,7350,1.0204081632653061,0.10884353741496598,12,11,17,18,6,3,8
茨城県,24,3,2860,0.8391608391608392,0.1048951048951049,7,6,5,3,0,0,3
栃木県,15,2,1934,0.7755946225439504,0.1034126163391934,5,3,1,2,1,1,2
新潟県,13,5,2223,0.5847953216374269,0.22492127755285649,1,2,1,2,1,1,5
富山県,6,1,1044,0.5747126436781609,0.09578544061302681,1,0,0,3,0,1,1
熊本県,10,0,1748,0.5720823798627002,0,4,1,3,2,0,0,0
山形県,6,3,1078,0.5565862708719851,0.27829313543599254,1,0,2,0,0,0,3
和歌山県,5,1,925,0.5405405405405406,0.10810810810810811,1,0,2,0,0,1,1
大分県,6,0,1135,0.5286343612334802,0,2,0,0,0,4,0,0
香川県,5,1,956,0.5230125523012552,0.10460251046025104,0,1,1,1,1,0,1
秋田県,5,0,966,0.5175983436853002,0,1,1,0,3,0,0,0
山梨県,4,0,811,0.4932182490752158,0,0,0,1,3,0,0,0
静岡県,16,2,3644,0.43907793633369924,0.054884742041712405,7,4,0,2,1,0,2
福井県,3,0,768,0.390625,0,1,0,0,2,0,0,0
鹿児島県,4,4,1602,0.24968789013732834,0.24968789013732834,0,0,0,0,0,0,4
宮城県,5,0,2306,0.21682567215958368,0,0,0,1,1,0,3,0
鳥取県,1,1,556,0.1798561151079137,0.1798561151079137,0,0,0,0,0,0,1
福島県,3,0,1846,0.16251354279523295,0,0,0,3,0,0,0,0
徳島県,1,0,728,0.13736263736263737,0,0,0,0,1,0,0,0
宮崎県,1,0,1073,0.09319664492078285,0,1,0,0,0,0,0,0
岩手県,0,0,1227,0,0,0,0,0,0,0,0,0
