"時間軸（年次） コード","時間軸（年次）","都道府県コード","名称","/男女","総数","男","女"
"2020000000","2020年","00000","全国","","126,146,099","61,349,581","64,796,518"
"2020000000","2020年","01000","北海道","","5,224,614","2,465,088","2,759,526"
"2020000000","2020年","02000","青森県","","1,237,984","583,402","654,582"
"2020000000","2020年","03000","岩手県","","1,210,534","582,952","627,582"
"2020000000","2020年","04000","宮城県","","2,301,996","1,122,598","1,179,398"
"2020000000","2020年","05000","秋田県","","959,502","452,439","507,063"
"2020000000","2020年","06000","山形県","","1,068,027","516,438","551,589"
"2020000000","2020年","07000","福島県","","1,833,152","903,864","929,288"
"2020000000","2020年","08000","茨城県","","2,867,009","1,430,976","1,436,033"
"2020000000","2020年","09000","栃木県","","1,933,146","964,930","968,216"
"2020000000","2020年","10000","群馬県","","1,939,110","959,411","979,699"
"2020000000","2020年","11000","埼玉県","","7,344,765","3,652,169","3,692,596"
"2020000000","2020年","12000","千葉県","","6,284,480","3,117,987","3,166,493"
"2020000000","2020年","13000","東京都","","14,047,594","6,898,388","7,149,206"
"2020000000","2020年","14000","神奈川県","","9,237,337","4,588,268","4,649,069"
"2020000000","2020年","15000","新潟県","","2,201,272","1,068,670","1,132,602"
"2020000000","2020年","16000","富山県","","1,034,814","502,637","532,177"
"2020000000","2020年","17000","石川県","","1,132,526","549,771","582,755"
"2020000000","2020年","18000","福井県","","766,863","373,973","392,890"
"2020000000","2020年","19000","山梨県","","809,974","397,309","412,665"
"2020000000","2020年","20000","長野県","","2,048,011","1,000,389","1,047,622"
"2020000000","2020年","21000","岐阜県","","1,978,742","960,436","1,018,306"
"2020000000","2020年","22000","静岡県","","3,633,202","1,791,118","1,842,084"
"2020000000","2020年","23000","愛知県","","7,542,415","3,761,502","3,780,913"
"2020000000","2020年","24000","三重県","","1,770,254","864,475","905,779"
"2020000000","2020年","25000","滋賀県","","1,413,610","697,429","716,181"
"2020000000","2020年","26000","京都府","","2,578,087","1,231,468","1,346,619"
"2020000000","2020年","27000","大阪府","","8,837,685","4,235,956","4,601,729"
"2020000000","2020年","28000","兵庫県","","5,465,002","2,599,756","2,865,246"
"2020000000","2020年","29000","奈良県","","1,324,473","623,926","700,547"
"2020000000","2020年","30000","和歌山県","","922,584","435,051","487,533"
"2020000000","2020年","31000","鳥取県","","553,407","264,432","288,975"
"2020000000","2020年","32000","島根県","","671,126","324,291","346,835"
"2020000000","2020年","33000","岡山県","","1,888,432","908,045","980,387"
"2020000000","2020年","34000","広島県","","2,799,702","1,357,156","1,442,546"
"2020000000","2020年","35000","山口県","","1,342,059","636,736","705,323"
"2020000000","2020年","36000","徳島県","","719,559","343,265","376,294"
"2020000000","2020年","37000","香川県","","950,244","459,197","491,047"
"2020000000","2020年","38000","愛媛県","","1,334,841","633,062","701,779"
"2020000000","2020年","39000","高知県","","691,527","326,531","364,996"
"2020000000","2020年","40000","福岡県","","5,135,214","2,430,951","2,704,263"
"2020000000","2020年","41000","佐賀県","","811,442","384,451","426,991"
"2020000000","2020年","42000","長崎県","","1,312,317","616,912","695,405"
"2020000000","2020年","43000","熊本県","","1,738,301","822,481","915,820"
"2020000000","2020年","44000","大分県","","1,123,852","533,414","590,438"
"2020000000","2020年","45000","宮崎県","","1,069,576","504,763","564,813"
"2020000000","2020年","46000","鹿児島県","","1,588,256","748,306","839,950"
"2020000000","2020年","47000","沖縄県","","1,467,480","722,812","744,668"
