since,Pref,Population,Male,Female,M/F,JP,JP_Male,JP_Female,JP_M/F
2019年10月1日現在,全国,126167,61411,64756,94.8,123731,60208,63523,94.8
2019年10月1日現在,北海道,5250,2472,2778,89,5211,2455,2756,89.1
2019年10月1日現在,青森県,1246,585,661,88.6,1240,583,657,88.7
2019年10月1日現在,岩手県,1227,592,635,93.2,1219,589,631,93.4
2019年10月1日現在,宮城県,2306,1127,1179,95.5,2283,1116,1167,95.6
2019年10月1日現在,秋田県,966,454,512,88.7,963,453,509,89
2019年10月1日現在,山形県,1078,520,558,93.3,1070,517,552,93.7
2019年10月1日現在,福島県,1846,914,931,98.2,1831,908,923,98.3
2019年10月1日現在,茨城県,2860,1427,1433,99.6,2810,1401,1408,99.5
2019年10月1日現在,栃木県,1934,964,970,99.3,1906,951,955,99.6
2019年10月1日現在,群馬県,1942,962,981,98,1886,932,955,97.6
2019年10月1日現在,埼玉県,7350,3668,3682,99.6,7174,3575,3599,99.3
2019年10月1日現在,千葉県,6259,3105,3155,98.4,6141,3051,3090,98.7
2019年10月1日現在,東京都,13921,6846,7075,96.8,13405,6589,6817,96.7
2019年10月1日現在,神奈川県,9198,4585,4613,99.4,8997,4483,4514,99.3
2019年10月1日現在,新潟県,2223,1078,1145,94.1,2206,1071,1135,94.4
2019年10月1日現在,富山県,1044,506,537,94.3,1026,498,528,94.3
2019年10月1日現在,石川県,1138,553,585,94.5,1123,545,579,94.1
2019年10月1日現在,福井県,768,374,394,94.7,756,368,388,94.9
2019年10月1日現在,山梨県,811,397,414,96,798,391,407,96.2
2019年10月1日現在,長野県,2049,1000,1049,95.3,2016,985,1030,95.6
2019年10月1日現在,岐阜県,1987,964,1022,94.3,1940,941,998,94.3
2019年10月1日現在,静岡県,3644,1797,1847,97.3,3557,1754,1803,97.3
2019年10月1日現在,愛知県,7552,3780,3773,100.2,7316,3661,3655,100.1
2019年10月1日現在,三重県,1781,870,911,95.5,1736,847,890,95.2
2019年10月1日現在,滋賀県,1414,699,715,97.8,1385,683,702,97.4
2019年10月1日現在,京都府,2583,1234,1349,91.5,2527,1206,1320,91.4
2019年10月1日現在,大阪府,8809,4227,4582,92.3,8623,4136,4486,92.2
2019年10月1日現在,兵庫県,5466,2605,2861,91,5369,2557,2812,90.9
2019年10月1日現在,奈良県,1330,626,704,89,1319,621,698,88.9
2019年10月1日現在,和歌山県,925,435,490,88.8,918,432,486,89
2019年10月1日現在,鳥取県,556,266,290,91.7,551,264,287,92
2019年10月1日現在,島根県,674,326,349,93.3,665,321,344,93.3
2019年10月1日現在,岡山県,1890,909,980,92.7,1866,897,968,92.6
2019年10月1日現在,広島県,2804,1362,1442,94.5,2761,1339,1422,94.1
2019年10月1日現在,山口県,1358,645,713,90.5,1340,637,704,90.5
2019年10月1日現在,徳島県,728,347,381,91.2,723,346,378,91.5
2019年10月1日現在,香川県,956,464,492,94.2,945,458,487,94.1
2019年10月1日現在,愛媛県,1339,634,705,89.9,1328,628,700,89.7
2019年10月1日現在,高知県,698,329,369,89.3,693,327,367,89.1
2019年10月1日現在,福岡県,5104,2416,2688,89.9,5039,2381,2658,89.6
2019年10月1日現在,佐賀県,815,386,429,89.8,808,383,425,90
2019年10月1日現在,長崎県,1327,624,702,88.9,1318,620,698,88.9
2019年10月1日現在,熊本県,1748,825,922,89.5,1731,819,913,89.7
2019年10月1日現在,大分県,1135,539,597,90.3,1123,533,590,90.3
2019年10月1日現在,宮崎県,1073,505,568,88.9,1065,502,563,89.1
2019年10月1日現在,鹿児島県,1602,753,849,88.7,1589,749,840,89.2
2019年10月1日現在,沖縄県,1453,715,738,96.8,1434,704,730,96.4
