ktq_Prate,ktq_Pcount,ktq_Tcount,ktq_Rday,ktq_Ncount
0,0,2,2020/01/30,2
0,0,1,2020/02/13,1
0,0,1,2020/02/14,1
,0,0,2020/02/15,0
0,0,1,2020/02/16,1
,0,0,2020/02/17,0
0,0,2,2020/02/18,2
0,0,1,2020/02/19,1
,0,0,2020/02/20,0
,0,0,2020/02/21,0
0,0,1,2020/02/22,1
0,0,1,2020/02/23,1
0,0,1,2020/02/24,1
0,0,1,2020/02/25,1
0,0,2,2020/02/26,2
0,0,2,2020/02/27,2
0,0,4,2020/02/28,4
,0,0,2020/02/29,0
50,1,2,2020/03/01,1
0,0,27,2020/03/02,27
0,0,5,2020/03/03,5
0,0,19,2020/03/04,19
0,0,10,2020/03/05,10
0,0,32,2020/03/06,32
0,0,113,2020/03/07,113
0,0,22,2020/03/08,22
0,0,3,2020/03/09,3
0,0,6,2020/03/10,6
0,0,2,2020/03/11,2
0,0,4,2020/03/12,4
0,0,1,2020/03/13,1
0,0,4,2020/03/14,4
0,0,4,2020/03/15,4
0,0,4,2020/03/16,4
0,0,11,2020/03/17,11
0,0,6,2020/03/18,6
0,0,7,2020/03/19,7
0,0,9,2020/03/20,9
0,0,2,2020/03/21,2
0,0,5,2020/03/22,5
12.5,1,8,2020/03/23,7
0,0,22,2020/03/24,22
0,0,10,2020/03/25,10
0,0,12,2020/03/26,12
0,0,8,2020/03/27,8
5.263157895,1,19,2020/03/28,18
0,0,15,2020/03/29,15
12.5,1,8,2020/03/30,7
20.833333333,10,48,2020/03/31,38
36.206896552,21,58,2020/04/01,37
8.860759494,7,79,2020/04/02,72
6.25,3,48,2020/04/03,45
0,0,121,2020/04/04,121
0,0,170,2020/04/05,170
2.777777778,4,144,2020/04/06,140
1.176470588,1,85,2020/04/07,84
1.465201465,4,273,2020/04/08,269
0.8,1,125,2020/04/09,124
0.709219858,1,141,2020/04/10,140
4.615384615,3,65,2020/04/11,62
17.391304348,4,23,2020/04/12,19
10,2,20,2020/04/13,18
6.521739130,3,46,2020/04/14,43
2.830188679,3,106,2020/04/15,103
0,0,36,2020/04/16,36
2.439024390,1,41,2020/04/17,40
0,0,71,2020/04/18,71
0,0,18,2020/04/19,18
0,0,5,2020/04/20,5
0,0,42,2020/04/21,42
3.636363636,2,55,2020/04/22,53
1.960784314,1,51,2020/04/23,50
0,0,42,2020/04/24,42
0,0,46,2020/04/25,46
0,0,21,2020/04/26,21
0,0,10,2020/04/27,10
0,0,72,2020/04/28,72
2.040816327,1,49,2020/04/29,48
0,0,25,2020/04/30,25
0,0,50,2020/05/01,50
0,0,29,2020/05/02,29
0,0,30,2020/05/03,30
0,0,18,2020/05/04,18
0,0,18,2020/05/05,18
0,0,13,2020/05/06,13
0,0,11,2020/05/07,11
0,0,64,2020/05/08,64
0,0,49,2020/05/09,49
0,0,23,2020/05/10,23
0,0,19,2020/05/11,19
0,0,52,2020/05/12,52
0,0,70,2020/05/13,70
0,0,25,2020/05/14,25
0,0,26,2020/05/15,26
0,0,40,2020/05/16,40
0,0,17,2020/05/17,17
0,0,9,2020/05/18,9
0,0,33,2020/05/19,33
0,0,30,2020/05/20,30
0,0,32,2020/05/21,32
0,0,15,2020/05/22,15
10.714285714,3,28,2020/05/23,25
50,3,6,2020/05/24,3
18.181818182,6,33,2020/05/25,27
2.083333333,2,96,2020/05/26,94
12.121212121,8,66,2020/05/27,58
17.647058824,21,119,2020/05/28,98
16.25,26,160,2020/05/29,134
7.207207207,16,222,2020/05/30,206
7.741935484,12,155,2020/05/31,143
12.030075188,16,133,2020/06/01,117
2.189781022,6,274,2020/06/02,268
1.184834123,5,422,2020/06/03,417
2.105263158,6,285,2020/06/04,279
2.222222222,5,225,2020/06/05,220
0.464037123,2,431,2020/06/06,429
2.654867257,3,113,2020/06/07,110
1.595744681,3,188,2020/06/08,185
1.5625,3,192,2020/06/09,189
0.387596899,1,258,2020/06/10,257
0,0,154,2020/06/11,154
1.438848921,4,278,2020/06/12,274
1.020408163,1,98,2020/06/13,97
2.020202020,2,99,2020/06/14,97
0.555555556,1,180,2020/06/15,179
0.411522634,1,243,2020/06/16,242
1.111111111,2,180,2020/06/17,178
0.952380952,2,210,2020/06/18,208
1.826484018,4,219,2020/06/19,215
0,0,79,2020/06/20,79
0,0,102,2020/06/21,102
0,0,150,2020/06/22,150
1.652892562,2,121,2020/06/23,119
0.413223140,1,242,2020/06/24,241
0.452488688,1,221,2020/06/25,220
0,0,229,2020/06/26,229
0,0,84,2020/06/27,84
0,0,110,2020/06/28,110
0.621118012,1,161,2020/06/29,160
0,0,200,2020/06/30,200
1.310043668,3,229,2020/07/01,226
0,0,130,2020/07/02,130
0.666666667,1,150,2020/07/03,149
1.886792453,2,106,2020/07/04,104
0,0,116,2020/07/05,116
0.450450450,1,222,2020/07/06,221
0,0,226,2020/07/07,226
2.049180328,5,244,2020/07/08,239
0.421940928,1,237,2020/07/09,236
0,0,258,2020/07/10,258
0.657894737,1,152,2020/07/11,151
1.351351351,2,148,2020/07/12,146
0.636942675,1,157,2020/07/13,156
0.326797386,1,306,2020/07/14,305
0,0,296,2020/07/15,296
0.956937799,2,209,2020/07/16,207
0,0,281,2020/07/17,281
4,5,125,2020/07/18,120
1.010101010,1,99,2020/07/19,98
1.612903226,2,124,2020/07/20,122
0.306748466,1,326,2020/07/21,325
1.5,3,200,2020/07/22,197
1.550387597,4,258,2020/07/23,254
3.539823009,4,113,2020/07/24,109
3.174603175,6,189,2020/07/25,183
9.574468085,9,94,2020/07/26,85
1.149425287,2,174,2020/07/27,172
5.333333333,16,300,2020/07/28,284
2.797202797,8,286,2020/07/29,278
2.765957447,13,470,2020/07/30,457
2.916666667,14,480,2020/07/31,466
2.388059701,8,335,2020/08/01,327
5.642633229,18,319,2020/08/02,301
1.546391753,3,194,2020/08/03,191
9.302325581,24,258,2020/08/04,234
4.022988506,21,522,2020/08/05,501
3.584905660,19,530,2020/08/06,511
5.090909091,14,275,2020/08/07,261
7.586206897,33,435,2020/08/08,402
6.086956522,14,230,2020/08/09,216
6.875,11,160,2020/08/10,149
2.747252747,5,182,2020/08/11,177
2.123552124,11,518,2020/08/12,507
2.862985685,14,489,2020/08/13,475
3.950617284,16,405,2020/08/14,389
5.504587156,12,218,2020/08/15,206
4.761904762,6,126,2020/08/16,120
0,0,191,2020/08/17,191
1.861702128,7,376,2020/08/18,369
2.571428571,9,350,2020/08/19,341
1.597444089,5,313,2020/08/20,308
1.123595506,4,356,2020/08/21,352
0.881057269,2,227,2020/08/22,225
1.910828025,3,157,2020/08/23,154
2.419354839,3,124,2020/08/24,121
0.945626478,4,423,2020/08/25,419
1.993355482,6,301,2020/08/26,295
1.459854015,4,274,2020/08/27,270
0.925925926,3,324,2020/08/28,321
2.030456853,4,197,2020/08/29,193
2.020202020,2,99,2020/08/30,97
0,0,195,2020/08/31,195
0.911854103,3,329,2020/09/01,326
0,0,241,2020/09/02,241
0,0,320,2020/09/03,320
0.602409639,2,332,2020/09/04,330
1.515151515,3,198,2020/09/05,195
1.020408163,1,98,2020/09/06,97
0,0,121,2020/09/07,121
0,0,256,2020/09/08,256
0,0,326,2020/09/09,326
0.687285223,2,291,2020/09/10,289
0.359712230,1,278,2020/09/11,277
1.948051948,3,154,2020/09/12,151
1.136363636,1,88,2020/09/13,87
0,0,163,2020/09/14,163
0,0,331,2020/09/15,331
0.378787879,1,264,2020/09/16,263
0,0,226,2020/09/17,226
0.396825397,1,252,2020/09/18,251
0,0,106,2020/09/19,106
0,0,77,2020/09/20,77
0,0,37,2020/09/21,37
0,0,45,2020/09/22,45
0.454545455,1,220,2020/09/23,219
0.402414487,2,497,2020/09/24,495
0,0,261,2020/09/25,261
1.052631579,1,95,2020/09/26,94
0,0,188,2020/09/27,188
0,0,179,2020/09/28,179
0.540540541,2,370,2020/09/29,368
0,0,220,2020/09/30,220
0,0,230,2020/10/01,230
0.369003690,1,271,2020/10/02,270
0.714285714,1,140,2020/10/03,139
0,0,216,2020/10/04,216
0,0,137,2020/10/05,137
